Question Sent,question_Response_type,response to question,updated_at,Voter ID
Planning to vote?,yes_no,No,2022-09-30 16:30:35.063947Z,1199159941
Planning to vote?,yes_no,Yes,2022-09-30 16:54:04.641891Z,1216330175
Planning to vote?,yes_no,Yes,2022-09-30 19:06:54.005040Z,1219762392
Planning to vote?,yes_no,Yes,2022-09-30 19:49:11.434473Z,1111158835
Planning to vote?,yes_no,Yes,2022-09-30 19:49:27.027781Z,2001172788
Planning to vote?,yes_no,No,2022-09-30 19:49:36.127873Z,1219036818
Planning to vote?,yes_no,Yes,2022-09-30 19:49:48.704461Z,2176486300
Planning to vote?,yes_no,Yes,2022-09-30 19:50:01.742209Z,1202793966
Planning to vote?,yes_no,Yes,2022-09-30 19:50:20.887190Z,1103045569
Planning to vote?,yes_no,No,2022-09-30 19:50:35.894984Z,2144886134
Planning to vote?,yes_no,Yes,2022-09-30 19:50:58.703015Z,1111191881
Planning to vote?,yes_no,Yes,2022-09-30 19:51:10.211424Z,1108858843
Planning to vote?,yes_no,No,2022-09-30 19:51:17.149311Z,1174165311
Planning to vote?,yes_no,No,2022-09-30 19:51:25.454383Z,1111917349
Planning to vote?,yes_no,Yes,2022-09-29 18:33:32.731774Z,1144441025
Planning to vote?,yes_no,Yes,2022-09-30 15:55:42.745009Z,1103049503
Planning to vote?,yes_no,Yes,2022-09-29 18:41:28.706442Z,1043427395
Planning to vote?,yes_no,Yes,2022-09-29 18:38:29.159755Z,1146383861
Planning to vote?,yes_no,Yes,2022-09-29 18:15:01.432667Z,2170447899
Planning to vote?,yes_no,Yes,2022-09-29 18:37:41.394491Z,2173951744
Planning to vote?,yes_no,Yes,2022-09-29 18:28:00.507593Z,1203537020
Planning to vote?,yes_no,Yes,2022-09-29 20:34:11.673175Z,2184567301
Planning to vote?,yes_no,No,2022-09-29 20:22:38.315542Z,2123590810
Planning to vote?,yes_no,Yes,2022-09-30 15:39:10.944436Z,2184040842
Planning to vote?,yes_no,Yes,2022-09-29 18:22:20.012229Z,2156642512
Planning to vote?,yes_no,Yes,2022-09-29 20:32:29.431389Z,2127199855
Planning to vote?,yes_no,No,2022-09-30 15:48:27.354653Z,2121986057
Planning to vote?,yes_no,Yes,2022-09-29 20:08:49.909538Z,2186281584
Planning to vote?,yes_no,Yes,2022-09-29 18:18:21.235367Z,2179192264
Planning to vote?,yes_no,Yes,2022-09-30 16:09:23.779174Z,1112344251
Planning to vote?,yes_no,Yes,2022-09-30 15:34:55.727285Z,1103942287
Planning to vote?,yes_no,Yes,2022-09-29 20:11:44.322231Z,1201571112
Planning to vote?,yes_no,No,2022-09-30 15:51:33.142659Z,2001754649
Planning to vote?,yes_no,Yes,2022-09-30 15:56:31.780919Z,2158213781
Planning to vote?,yes_no,Yes,2022-09-29 18:46:33.147044Z,2177942933
Planning to vote?,yes_no,Yes,2022-09-29 20:35:35.055059Z,2124474180
Planning to vote?,yes_no,Yes,2022-09-29 20:21:32.834611Z,2179356118
Planning to vote?,yes_no,Yes,2022-09-30 15:35:47.170335Z,2164686043
Planning to vote?,yes_no,Yes,2022-09-30 15:49:14.365218Z,2142760737
Planning to vote?,yes_no,Yes,2022-09-30 15:41:19.164357Z,2164272012
Planning to vote?,yes_no,No,2022-09-30 15:34:27.664579Z,2153867488
Planning to vote?,yes_no,Yes,2022-09-29 22:48:19.569878Z,1212405184
Planning to vote?,yes_no,Yes,2022-09-30 15:40:21.541252Z,1102365946
Planning to vote?,yes_no,Yes,2022-09-30 15:59:03.847896Z,1109255465
Planning to vote?,yes_no,No,2022-09-30 15:49:32.039450Z,2164685932
Planning to vote?,yes_no,No,2022-09-30 15:44:06.292817Z,1211848700
Planning to vote?,yes_no,Yes,2022-09-30 15:54:47.331983Z,--
Planning to vote?,yes_no,Yes,2022-09-29 16:59:57.133681Z,2159634239
Planning to vote?,yes_no,Yes,2022-09-29 16:59:27.353663Z,2129640847
Planning to vote?,yes_no,Yes,2022-09-29 16:43:44.616928Z,2128428129
Planning to vote?,yes_no,No,2022-09-29 17:01:29.275050Z,1161348367
Planning to vote?,yes_no,No,2022-09-30 15:48:01.650324Z,2163935663
Planning to vote?,yes_no,Yes,2022-09-29 16:42:05.344464Z,2186508278
Planning to vote?,yes_no,Yes,2022-09-29 22:25:08.194763Z,1102344612
Planning to vote?,yes_no,Yes,2022-09-29 17:00:19.542549Z,2180450496
Planning to vote?,yes_no,No,2022-09-30 15:45:56.956641Z,1147395094
Planning to vote?,yes_no,No,2022-09-29 17:07:37.862655Z,1110611620
Planning to vote?,yes_no,Yes,2022-09-29 16:44:40.321767Z,1112447565
Planning to vote?,yes_no,No,2022-09-30 15:53:47.845543Z,2137839489
Planning to vote?,yes_no,Yes,2022-09-29 17:02:20.742895Z,1150168717
