,VoterID,result of attempt
14,1190763748.0,Canvassed
15,1186729886.0,Canvassed
17,1190763748.0,Canvassed
20,2141173305.0,Canvassed
48,2146340102.0,Canvassed
53,2127479936.0,Canvassed
64,2192067323.0,Canvassed
65,2174861858.0,Canvassed
67,2192067323.0,Canvassed
69,2174861858.0,Canvassed
72,1142092670.0,Canvassed
83,2176202962.0,Canvassed
92,1150092850.0,Canvassed
93,2135254541.0,Canvassed
98,2167357470.0,Canvassed
100,2167357470.0,Canvassed
132,2124569017.0,Canvassed
135,1110263567.0,Canvassed
139,1106487054.0,Canvassed
147,1110263567.0,Canvassed
158,2151256908.0,Canvassed
162,1202167782.0,Canvassed
165,2191895102.0,Canvassed
166,2170440694.0,Canvassed
172,1145409931.0,Canvassed
173,2168084901.0,Canvassed
178,2159503923.0,Canvassed
179,1110229937.0,Canvassed
181,2179111952.0,Canvassed
189,2175398357.0,Canvassed
190,2179111952.0,Canvassed
191,2185156048.0,Canvassed
204,1176062880.0,Canvassed
209,1219899660.0,Canvassed
216,1175864856.0,Canvassed
245,1120811962.0,Canvassed
254,2163775807.0,Canvassed
277,1110262381.0,Canvassed
287,2179241338.0,Canvassed
288,2184950497.0,Canvassed
290,2179241338.0,Canvassed
295,1201745153.0,Canvassed
305,2179289672.0,Canvassed
311,1198579975.0,Canvassed
329,1108065455.0,Canvassed
331,1108065455.0,Canvassed
333,2161426715.0,Canvassed
343,1186562616.0,Canvassed
344,1183201712.0,Canvassed
347,2165061968.0,Canvassed
349,2165061968.0,Canvassed
362,2127898094.0,Canvassed
374,2160116135.0,Canvassed
379,1144755372.0,Canvassed
390,2177378104.0,Canvassed
404,1167508489.0,Canvassed
405,1119204941.0,Canvassed
407,1198319477.0,Canvassed
414,1217302384.0,Canvassed
431,1166972754.0,Canvassed
438,1119146567.0,Canvassed
449,1154673406.0,Canvassed
452,2123707052.0,Canvassed
453,1119270845.0,Canvassed
460,2001128096.0,Canvassed
479,2190061122.0,Canvassed
480,1183200795.0,Canvassed
483,1110619622.0,Canvassed
486,2187148578.0,Canvassed
492,2187148578.0,Canvassed
497,2128152588.0,Canvassed
499,2109985228.0,Canvassed
504,1110627754.0,Canvassed
511,2119772358.0,Canvassed
513,1206763825.0,Canvassed
521,2142575849.0,Canvassed
537,2184382934.0,Canvassed
553,2154602947.0,Canvassed
554,2148360156.0,Canvassed
557,2156123624.0,Canvassed
563,1110691576.0,Canvassed
576,1174337681.0,Canvassed
579,2175670382.0,Canvassed
599,2134023441.0,Canvassed
619,2161896237.0,Canvassed
625,1110643534.0,Canvassed
628,2183770455.0,Canvassed
629,2179553633.0,Canvassed
637,1119180148.0,Canvassed
644,1203507172.0,Canvassed
646,2188068662.0,Canvassed
647,2130833284.0,Canvassed
649,2167357368.0,Canvassed
654,1119246158.0,Canvassed
661,2192839611.0,Canvassed
674,2177711571.0,Canvassed
675,2158670854.0,Canvassed
676,2166874831.0,Canvassed
687,1102305070.0,Canvassed
743,1110182405.0,Canvassed
748,1115273291.0,Canvassed
757,1141640075.0,Canvassed
758,2167412719.0,Canvassed
786,2184343062.0,Canvassed
789,2155665293.0,Canvassed
792,2158241234.0,Canvassed
793,2157769944.0,Canvassed
798,1202428875.0,Canvassed
799,2161488653.0,Canvassed
801,1112096227.0,Canvassed
802,2137935121.0,Canvassed
805,1193964089.0,Canvassed
806,1110214011.0,Canvassed
808,1110261763.0,Canvassed
810,2160740474.0,Canvassed
811,1164036179.0,Canvassed
812,1106520068.0,Canvassed
814,2121145153.0,Canvassed
816,2140464649.0,Canvassed
819,1108607940.0,Canvassed
822,1110237518.0,Canvassed
823,2184697623.0,Canvassed
824,1141630958.0,Canvassed
827,2186671672.0,Canvassed
831,2136830169.0,Canvassed
832,1113406000.0,Canvassed
833,2189122566.0,Canvassed
838,2166856477.0,Canvassed
839,2185993746.0,Canvassed
840,2165047789.0,Canvassed
841,2184384368.0,Canvassed
846,2186975698.0,Canvassed
847,2148410940.0,Canvassed
848,1199598862.0,Canvassed
850,1205672269.0,Canvassed
855,1146303859.0,Canvassed
871,2124709636.0,Canvassed
872,1103142700.0,Canvassed
882,2169163901.0,Canvassed
885,2137704050.0,Canvassed
888,1110636188.0,Canvassed
889,1110628681.0,Canvassed
902,1111112678.0,Canvassed
912,2122488120.0,Canvassed
930,1221248089.0,Canvassed
936,1221248089.0,Canvassed
942,1197292018.0,Canvassed
951,1213613069.0,Canvassed
956,1103176206.0,Canvassed
966,1110652747.0,Canvassed
976,,Canvassed
988,,Canvassed
989,1110652602.0,Canvassed
990,1187304046.0,Canvassed
992,1103053529.0,Canvassed
1000,1110660428.0,Canvassed
1003,2135861597.0,Canvassed
1005,2124048414.0,Canvassed
1012,2190961699.0,Canvassed
1016,2128582251.0,Canvassed
1018,2164598220.0,Canvassed
1020,1103209375.0,Canvassed
1029,1174418529.0,Canvassed
1038,2144209237.0,Canvassed
1042,1178944881.0,Canvassed
1051,2190924443.0,Canvassed
1071,2148816801.0,Canvassed
1078,2180322394.0,Canvassed
1111,1102281336.0,Canvassed
1113,2159903817.0,Canvassed
1115,1162504698.0,Canvassed
1117,1205631444.0,Canvassed
1118,1162504698.0,Canvassed
1119,1151861342.0,Canvassed
1124,1181171662.0,Canvassed
1140,2177296900.0,Canvassed
1143,2177296900.0,Canvassed
1144,2191281645.0,Canvassed
1148,1203352749.0,Canvassed
1151,2003362373.0,Canvassed
1174,2189019226.0,Canvassed
1175,1162139055.0,Canvassed
1184,2174296557.0,Canvassed
1208,2162415931.0,Canvassed
1212,2159456493.0,Canvassed
1213,2151858481.0,Canvassed
1214,2168463524.0,Canvassed
1222,1081183999.0,Canvassed
1223,1081183999.0,Canvassed
1242,2131216051.0,Canvassed
1261,2179189861.0,Canvassed
1273,2189284212.0,Canvassed
1280,1215746261.0,Canvassed
1281,1210823275.0,Canvassed
1283,1111167508.0,Canvassed
1295,2166344334.0,Canvassed
1296,2173627720.0,Canvassed
1297,2183718186.0,Canvassed
1307,1103511343.0,Canvassed
1308,2172956047.0,Canvassed
1334,1103283975.0,Canvassed
1340,2145055203.0,Canvassed
1346,1103070199.0,Canvassed
1366,1110643743.0,Canvassed
1370,1109948162.0,Canvassed
1390,1110603039.0,Canvassed
1400,2187595275.0,Canvassed
1417,2140444767.0,Canvassed
1418,1110611631.0,Canvassed
1423,1103184749.0,Canvassed
1432,1103118646.0,Canvassed
1444,2185547228.0,Canvassed
1466,2172015718.0,Canvassed
1467,1103142293.0,Canvassed
1480,1117891450.0,Canvassed
1487,2190523187.0,Canvassed
1493,2180163681.0,Canvassed
1501,1187282498.0,Canvassed
1503,1204780772.0,Canvassed
1516,2134692246.0,Canvassed
1528,2158032471.0,Canvassed
1529,2140142764.0,Canvassed
1538,1221923433.0,Canvassed
1539,1222203784.0,Canvassed
1547,2119765388.0,Canvassed
1548,2173732262.0,Canvassed
1555,1110627173.0,Canvassed
1573,2136072861.0,Canvassed
1582,2153666855.0,Canvassed
1599,1154287516.0,Canvassed
1600,2161130277.0,Canvassed
1606,1170715304.0,Canvassed
1613,2155240849.0,Canvassed
1623,2122054943.0,Canvassed
1641,1149687376.0,Canvassed
1643,1162805104.0,Canvassed
1655,1166780672.0,Canvassed
1670,2170447488.0,Canvassed
1676,2150550439.0,Canvassed
1689,2188437973.0,Canvassed
1705,1218852754.0,Canvassed
1709,2142476543.0,Canvassed
