,VoterID,result of attempt
0,1120854026.0,Not Home
1,1217881733.0,Not Home
2,2146140215.0,Not Home
3,2135784760.0,Not Home
4,2176309780.0,Not Home
5,2176309780.0,Not Home
6,2157005290.0,Not Home
7,2188608516.0,Not Home
8,2187040265.0,Not Home
9,,Not Home
10,2146140215.0,Not Home
11,1107408652.0,Not Home
12,2188608516.0,Not Home
13,1108709345.0,Not Home
14,1190763748.0,Canvassed
15,1186729886.0,Canvassed
16,1110269022.0,Not Home
17,1190763748.0,Canvassed
18,1186729886.0,Moved
19,2154344245.0,Not Home
20,2141173305.0,Canvassed
21,1186729886.0,Moved
22,1110191743.0,Not Home
23,2125235110.0,Not Home
24,1110191743.0,Not Home
25,1115201032.0,Not Home
26,2003508680.0,Inaccessible
27,2125235110.0,Not Home
28,1115201032.0,Not Home
29,1110213525.0,Not Home
30,1110213525.0,Not Home
31,1203984041.0,Not Home
32,2177711234.0,Not Home
33,2147624126.0,Not Home
34,1110238215.0,Not Home
35,2130390130.0,Not Home
36,2149007781.0,Not Home
37,2154372772.0,Not Home
38,1110238215.0,Not Home
39,1108709345.0,Not Home
40,1192677539.0,Not Home
41,1167966925.0,Not Home
42,1167966925.0,Not Home
43,2161753448.0,Not Home
44,1164154446.0,Not Home
45,2161753448.0,Not Home
46,1164154446.0,Not Home
47,1105296473.0,Not Home
48,2146340102.0,Canvassed
49,2140261934.0,Refused
50,1212577882.0,Not Home
51,2140261934.0,Refused
52,2177708059.0,Not Home
53,2127479936.0,Canvassed
54,2155351275.0,Moved
55,2173742433.0,Moved
56,1110182414.0,Moved
57,2155702058.0,Moved
58,2191311276.0,Not Home
59,2155351275.0,Moved
60,1110182414.0,Moved
61,2155702058.0,Moved
62,2173742433.0,Moved
63,1206849227.0,Not Home
64,2192067323.0,Canvassed
65,2174861858.0,Canvassed
66,2171563004.0,Not Home
67,2192067323.0,Canvassed
68,1221598557.0,Not Home
69,2174861858.0,Canvassed
70,1110237539.0,Not Home
71,1108667736.0,Not Home
72,1142092670.0,Canvassed
73,1110237539.0,Not Home
74,2179162036.0,Not Home
75,2173604763.0,Not Home
76,2189509481.0,Not Home
77,2135282991.0,Not Home
78,2138077800.0,Not Home
79,2179162036.0,Not Home
80,2123486674.0,Not Home
81,2189509481.0,Not Home
82,2135282991.0,Not Home
83,2176202962.0,Canvassed
84,2138077800.0,Not Home
85,1146497664.0,Not Home
86,2132604317.0,Not Home
87,1146497664.0,Not Home
88,2132604317.0,Not Home
89,1149061396.0,Not Home
90,1149061396.0,Not Home
91,,Not Home
92,1150092850.0,Canvassed
93,2135254541.0,Canvassed
94,2168680351.0,Not Home
95,1198479059.0,Not Home
96,2168680351.0,Not Home
97,1198479059.0,Not Home
98,2167357470.0,Canvassed
99,2186735959.0,Not Home
100,2167357470.0,Canvassed
101,1178884524.0,Not Home
102,2188458834.0,Not Home
103,,Not Home
104,1202576025.0,Not Home
105,1202576025.0,Not Home
106,1202719733.0,Not Home
107,1110301096.0,Not Home
108,2184040520.0,Not Home
109,1202719733.0,Not Home
110,1110301096.0,Not Home
111,2184576117.0,Refused
112,2179111094.0,Not Home
