,Voter ID,VOTE_TYPE,ZIP,SEX,BIRTHYEAR,Voting Site,Voting Precinct
1239,1112782406,E,77003,M,1968,92023,9
1240,1102624198,E,77003,M,1961,92006,9
1241,1102333626,P,77003,F,1944,SRD143R,9
1242,1102333635,P,77003,M,1943,SRD143R,9
1244,1102325796,P,77003,F,1925,SRD134M,9
1245,1102333544,P,77003,F,1946,SRD143R,9
1246,1102358169,P,77003,F,1949,SRD143R,9
1247,1102341500,E,77003,F,1952,92006,9
1249,1102349284,E,77003,F,1939,92006,9
1251,1102388419,P,77003,M,1958,SRD143R,9
1252,1102484036,P,77003,F,1954,SRD143R,9
1253,1102380665,P,77003,M,1955,SRD134M,9
1255,1103414619,P,77003,F,1959,SRD143K,9
1256,1102286776,P,77003,F,1960,SRD143R,9
1257,1102286769,P,77003,F,1960,SRD143R,9
1258,1111451609,P,77003,F,1941,SRD143R,9
1259,1102388488,E,77003,F,1949,91022,9
1260,1102304691,P,77003,F,1945,SRD143R,9
1261,1102278965,P,77003,M,1957,SRD143R,9
1262,1102902938,P,77003,M,1958,SRD143R,9
1263,1102310160,P,77003,F,1953,SRD143R,9
1264,1111800918,P,77003,M,1962,SRD143R,9
1265,1102302436,E,77003,F,1950,92006,9
1266,1102302458,E,77003,F,1958,92006,9
1267,1102343811,P,77003,M,1943,SRD143R,9
1268,1106252606,E,77003,M,1961,92006,9
1269,1102294580,E,77003,F,1959,92006,9
1270,1114709753,P,77003,M,1956,SRD130T,9
1271,1120305401,E,77003,F,1958,92006,9
1272,1102254124,P,77003,F,1968,SRD143R,9
1273,1102279133,E,77003,M,1950,92006,9
1274,1119967893,P,77003,M,1952,SRD143R,9
1275,1119072501,P,77003,F,1951,SRD143R,9
1276,1110036324,P,77003,M,1964,SRD143R,9
1277,1103954391,P,77003,F,1935,SRD143R,9
1278,1102388604,P,77003,F,1965,SRD143R,9
1279,1102279095,E,77003,F,1954,91022,9
1280,1102372984,P,77003,F,1964,SRD143R,9
1281,1109045127,P,77003,M,1956,SRD134M,9
1282,1102351775,P,77003,F,1963,SRD143R,9
1284,1103590816,E,77003,M,1960,92006,9
1285,1109619108,P,77003,F,1961,SRD145M,9
1286,1102365072,E,77003,F,1937,92006,9
1287,1102365064,E,77003,F,1961,92006,9
1288,1104044381,P,77003,M,1952,SRD143R,9
1289,1119996077,P,77003,M,1959,SRD143R,9
1290,1112535806,P,77003,F,1968,SRD143R,9
1291,1102349395,P,77003,M,1936,SRD143R,9
1292,1119996083,P,77003,F,1958,SRD143R,9
1293,1103318245,E,77003,M,1966,92006,9
1294,1102341619,P,77003,M,1970,SRD143R,9
1295,1107954841,P,77003,F,1956,SRD143R,9
1296,1102341603,E,77003,F,1967,92006,9
1297,1120859697,E,77003,F,1963,92072,9
1298,1102182841,P,77003,F,1966,SRD143R,9
1299,1102273524,P,77003,M,1962,SRD143R,9
1301,1102341537,P,77003,F,1968,SRD143R,9
1303,1102325875,P,77003,F,1964,SRD143R,9
1304,1102318048,E,77003,M,1965,91022,9
1305,1103207537,E,77003,M,1966,92130,9
1308,1102326846,P,77011,M,1950,SRD143R,10
1309,1102326851,P,77003,M,1946,SRD143R,10
1310,1102326867,P,77003,F,1947,SRD143R,10
1311,1102334681,P,77011,M,1947,SRD143R,10
1314,1103535642,P,77003,M,1944,SRD143R,10
1316,1102319043,P,77003,F,1940,SRD145C,10
1317,1102319058,P,77003,M,1938,SRD145C,10
1318,1102311161,E,77003,M,1938,92027,10
1321,1102358225,P,77011,F,1941,SRD143R,10
1327,1102373901,P,77011,F,1948,SRD143R,10
1328,1102372852,P,77003,M,1956,SRD143R,9
1329,1102279990,E,77003,F,1944,92023,10
1330,1102272159,P,77003,F,1943,SRD143R,10
1331,1102264419,P,77003,F,1941,SRD143R,10
1332,1102272205,E,77003,F,1955,91022,10
1334,1102381774,E,77011,M,1928,91022,10
1335,1102334756,E,77003,M,1960,92025,10
1336,1102334804,P,77003,F,1936,SRD143K,10
1337,1102334815,P,77003,M,1943,SRD143R,10
1338,1102334843,E,77003,M,1961,92023,10
1340,1102350535,P,77003,F,1961,SRD143R,10
1341,1102350492,P,77011,M,1958,SRD143R,10
1342,1102350444,P,77011,M,1955,SRD143R,10
1343,1110535836,P,77011,F,1954,SRD143R,10
1344,1102319062,P,77011,M,1948,SRD143R,10
1345,1102311296,E,77011,F,1943,92023,10
1346,1102319164,E,77003,F,1959,91022,10
